Part5,Labor_Cost_USD,Part_Cost_USD,Days_To_Fail_MinZero,Miles_To_Fail,Customer_Complaint,PROBLEM,Target
1469,156,89.77,1003,26919,CUSTOMER STATES SQUEAK TYPE NOISE WHEN BRAKE PEDAL DEPRESSED,Unconfirmed,0
1469,150,86.26,1329,53629,CUSTOMER STATES THERE IS A LOUD CREEKING NOISE HEARD WHENAPPLYING THE BRAKES. THE NOISE IS COMING FROM THE BRAKE PEDAL. CUSTOMER TOOK VEHICLE TO HONDA IN CHULA VISTA AND THEYFOUND THAT THE BRAKE BOOSTER NEEDED TO BE REPLACED. CHECK FIRST AND ADVISE.,Unconfirmed,0
1469,128.7,42.26,823,23910,CUSTOMER STATES BREAKS ARE SOFT AND NEED TO BE REPLACED. FOUND MASTER CYL LEAK & BRAKE BOOSTER FAILING. R&R BRAKE BOOSTER.,Unconfirmed,0
1469,80.73,100.76,1495,47681,CUSTOMER CONCERNED ABNORMAL WHOOSHING SOUND INSIDE OF CABIN WHEN PRESSING OR RELEASING BRAKE PEDAL. CUSTOMER STATESNOISE DIDN`T START UNTIL AFTER FRONT BRAKES REPLACED AND BRAKE FLUID FLUSHED HERE ON 2/24/17 @ 45;050 MILES REFER TORO#406686. CHECK FO,Unconfirmed,0
1469,237.6,58.71,81,2716,"PEDAL STILL SOFT. CALLED TECHLINE AGAIN. REF #3973321. ADVISED TO CHK BRAKE BOOSTER. WHEN VAC LINE IS CLAMPED CLOSED, THERE IS NO PEDAL TRAVEL. TOLD TO RPLC BRK BOOSTER.",Unconfirmed,0
1469,237.5,693.49,56,3207,CUSTOMER STATES THERE IS FLUID LEAKING ON FLOOR BOARD BY BRAKE PEDAL.TECH LINE INVOLVED REF#3982953,Unconfirmed,0
1469,112.5,0,1088,39689,STEERING SHAKES WHEN BRAKING - RESURFACE FRONT BRAKE ROTORS - ONE TIME GOOD WILL AS PER ROPGER F,Unconfirmed,0
1469,0,102.7,1422,69000,CAR WILL NOT MOVE FORWARD - LIKE ALL BRAKES ARE SEIZED -,Unconfirmed,0
1469,136.5,289.62,91,4212,CUSTOMER REPORTS TRACTION CONTROL LIGHT IS ON AND BRAKE LIGHT FLICKERS ON AND OFF WHILE DRIVING - ADVISE,Unconfirmed,0
1469,137.15,289.62,1124,26571,CUSTOMER STATED BRAKE WARNING LAMP IS ON/ VEHICLE HAS NO BRAKES/ HAD TOWED TO DEALER/ MASTER CYL LEAKED INTO BRAKE BOOSTER,Unconfirmed,0
1469,530,115.8,76,2527,CAR WILL NOT START PEDAL WILL NOT PUSH DOWN,Unconfirmed,0
1469,161,51.1,112,7413,BRAKE PEDAL MAKES NOISE WHEN APPLIED,Unconfirmed,0
1469,169,218.4,821,32566,CUSTOMER REQUESTS THE BRAKES BE INSPECTED. PLEASE ADVISE AS NECESSARY ALSO LIGHT COMES ON BRAKE FLUID LOW CHECK ANDADVISE,Unconfirmed,0
1469,184,65.34,1081,21814,CUSTOMER STATES HEARING A WHISTLING TYPE NOISE WHILE DRIVING. CUSTOMER WILL HAVE TIME TO GO FOR TEST DRIVE WITH TECHNICIAN. COULD NOT DUPLICATE PROBLEM ON TEST DRIVE. CUSTOMER DID SHOW RECORDING OF NOISE TO TECH. SOUNDS LIKE LOUD WHISTLE COMING FROM,Unconfirmed,0
1469,195,65.91,805,41964,CUSTOMER STATES BRAKE IS MAKING SQUEAKY NOISE.  FOUND BRAKE BOOSTER BINDING PRODUCING NOISES. REPLACE BRAKE BOOSTER,Unconfirmed,0
1469,72,0,1213,55677,DIAG FOR EMISSIONS LIGHT,Unconfirmed,0
1469,111.3,0,956,54207,CUSTOMER STATES BRAKE PEDAL MAKING SQUEAKING NOISE SINCE HAVING BRAKE FLUSH PERFORMED HERE CHECK AND ADVISE,Unconfirmed,0
1469,338.15,100.28,0,128,BRAKES FEEL LIKE THEY ARE STAYING ON ALL THE TIME,Unconfirmed,0
1469,240,143.4,1337,18417,CUSTOMER STATES THE BRAKE PADEL FEELS SOFT AND SINK IN DEEPER THEN BEFORE. AND BRAKE PADEL IS MAKING SQUEAKING NOISE. FOUND BRAKE FLUID SQUEAKING FROM BOOSTER ROD (INTERNAL) REPLACE BRAKE BOOSTER AND BLEED LINES,Unconfirmed,0
1469,225,65.79,675,34766,C/S THE BRAKE PEDAL SQUEAKS WHEN PUSHING IN AND OUT STATESITS LOUDER IN THE MORNINGS CHECK & ADVISE,Unconfirmed,0
1469,216,124.97,1167,63352,CUSTOMER STATES THE CHECK ENGINE LIGHT IS ON ===========,Unconfirmed,0
1469,207,57.48,242,5450,CUSTOMER STATES ALL THE LIGHTS ON THE DASH CAME ON WHEN BRAKING. INSP BRAKE SYSTEM AND FOUND BRAKE MASTER CYLINDER LEAKING BRAKE BOOSTER LEAKING. REPLACED MASTER CYLINDER ANDBRAKE BOOSTER AND NO MORE LEAKS FOUND.,Unconfirmed,0
1469,156,146.19,1218,36326,CUSTOMER STATES CHECK ENGINE LIGHT ON. TECH VERIFIED CONCERN AND FOUND P0171 AND POWER BREAKE BOOSTER IS LEAKING. TECH REPLACED VACUUM BOOSTER.,Unconfirmed,0
1469,189,51.1,4,223,"CUSTOMER STATES THAT VSA, BRAKE, EPS AND OTHER MULITPLE LIGHTS ARE ON, PLEASE CHECK AND ADVISE.",Unconfirmed,0
1469,224,146.94,1376,37579,CUSTOMER STATES THERE IS A SQUEEKING NOISE COMING FROM THEBRAKE PEDAL WHEN APPLYING THE BRAKES. PLEASE CHECK AND ADVISE,Unconfirmed,0
1469,195.73,58.71,692,22840,"C/S SEVERAL LIGHTS ARE ON THE DASH, TPMS, STEERING LIGHT,BRAKE LIGHT. PLEASE CHECK AND ADVISE",Unconfirmed,0
1469,201.5,59.64,38,1466,VACUUM BOOSTER - REPLACE.,Unconfirmed,0
1469,168.83,70.66,1344,46486,"CUSTOMER STATE THERE IS A VERY LOUD BRAKE SQUEAL WHEN DEPRESSING PEDAL. TECH INSPECTED AND VERIFIED, CONCERN REPLACED BRAKE BOOSTER, BRAKE MASTER CYLINDER PER TECHLINE REF 29777963 REPLACED BRAKE MASTER CYLINDER A SECOND TIME AND VERIFIED GOOD NOW.",Unconfirmed,0
1469,132,56.36,38,1609,COMPLAINT THAT DISPLAY SAYS BRAKE FLUID LOW . CHECK AND ADVISE. ON THE WAY HERE ALL LIGHTS LIT UP ON DISPLAY .,Unconfirmed,0
1469,183.3,289.62,143,2810,C/S THERE IS A OIL LEAK AND CAN SEE STAIN ON DRIVEWAY. PLEASE CHECK AND ADVISE.,Unconfirmed,0
1469,242,1442.62,494,21174,CUSTOMER STATES BRAKE LIGHT ON DASH COMING OFF AND ON INTERMITTENLY,Unconfirmed,0
1469,242,1424.9,640,24819,GUEST STATES ALL WARNING INDICATORS IN DASH CLUSTER TURNEDON WHILE DRIVING -CHECK AND ADVISE TECH LINE 3943373,Unconfirmed,0
1469,103.35,61.1,124,5970,BRAKE BOOSTER IS SQUEAKING - PARTS HAVE BEEN ORDERED,Unconfirmed,0
1469,44.8,0,432,20231,CUSTOMER STATES BRAKES FEEL SPONGY,Unconfirmed,0
1469,175,178.52,1015,42038,C/S SHE RECIEVED A MESSAGE FROM HER NAV STATING PULL OVER;BRAKE PROBLEM;,Unconfirmed,0
1469,158.2,79.75,96,2316,VACUUM BOOSTER   REPLACE,Unconfirmed,0
1469,185.22,42.26,779,24983,CUSTOMER STATES THE BRAKE PEDAL WILL INTERMITTENLY JUDDERWHEN BRAKING INSTALL SPECIAL ORDER PART SEE HISTORY,Unconfirmed,0
1469,154,79.75,2,340,TECH INSPECTED THE BRAKE MASTER CYLINDER AND FOUND IT LEAKING FLUID INTO THE BRAKE BOOSTER.,Unconfirmed,0
1469,259.6,1435.54,797,28540,CUST STATES BRAKE FLUID LEAKING ON HER FOOT IN CAR;CHECK AND ADVISE,Unconfirmed,0
1469,149.5,186.6,36,603,C/S WARNING LIGHTS ARE ON REPLACE POWER BRAKE BOOSTER,Unconfirmed,0
1469,156,59.64,140,4622,CLIENT STATES SQUEEK NOISE HEARD FROM BRAKE PEDAL WHEN DEPRESSED; SOP BOOSTER,Unconfirmed,0
1469,286,173.61,464,18437,DIAGNOSE CUSTOMER CONCERN OR MALFUNCION LIGHT BRAKE LIGHTCOMES ON SAYS LOW ON BRAKE FLUID  FRON T COLLISON CAME ONAND LOTS OF OTHER LIGHTS BUT N OT CHECK ENGINE LIGHT,Unconfirmed,0
1469,327,0,25,1986,"CUSTOMER REPORTS: BRAKE SYSTEM FAILURE CAME UP ON INFORMATION SCREEN AND LANE ASSIST AND CRUISE SHUT DOWN. USED HDS TO CHECK CODES, FOUND U0418-68 ESB/EBB FAILURE IN ABS/VSA SYSTEM",Unconfirmed,0
1469,228.8,1432,517,38593,CUSTOMER STATES NOISE WHEN BRAKING - REPLACE SPECIAL ORDERED BRAKE MASTER CYLINDER SOLENOID ASSEMBLY FOR ERRATIC BEHAVIOR- PART WAS ON BACK ORDER AND WAS ORDERED WHILE UNDERWARRANTY.,Unconfirmed,0
1469,151.06,300.49,285,12020,CUSTOMER STATES INTERMITTENT NO STARTCUSTOMER STATES WHENBRAKE PEDAL IS HARD TO PUSH BEFORE STARTING CAR WILL NOT START CHECK AND ADVISE,Unconfirmed,0
1469,252.2,117.77,1399,64363,CUSTOMER STATES IN THE AM WHEN BRAKING CAN HEAR AND FEEL SOMETHING STRANGE N THE BRAKING SYSTEM CK AND ADVISE,Unconfirmed,0
1469,178.2,236.26,125,5053,DEBIT/CREDIT.CHECK ENGINE  LIGHT IS ON. TECH NOTED BRAKE MASTER CYLINDER LEAKING FLUID. REPLACED BRAKE MASTER CYLINDER AND BRAKE BOOSTER.,Unconfirmed,0
1469,178.2,63.98,360,13201,"DEBIT/CREDIT.  POOR ACCELERATION AND NO POWER--FEELS LIKE BRAKES ARE ENGAGED. DTC 68-12, 86-11 AND U0101-00 . BRAKE BOOSTER NOT OPERATING PROPERLY CAUSING BRAKES TO STAY ENG AGED. REPLACED BRAKE BOOSTER AND PEDAL SPRING. TECH LINE REF #3846848",Unconfirmed,0
1469,230,1666.21,1401,32932,DIAGNOSE FLUID LEAK INCLUDES CLEAN OFF STAINED AREA  ADD DYE AND REINSPECT WITH BLACK LIGHT  CUSTOMER TO RETURN VEHICLE AFTER 500 MILES FOR FINAL INSPECTION  C S THERE IS A FLUID LEAK ON THE DRIVER SI,Unconfirmed,0
1469,156,70.66,582,32698,CUSTOMER STATES THERE IS AN ABNORMAL NOISE WHEN PRESSING BRAKE PEDAL,Unconfirmed,0
1469,118.8,77.63,1164,33686,CUSTOMER STATES BRAKE PEDAL SQEAKING NOISE,Unconfirmed,0
1469,154.7,186.6,105,1503,CUSTOMER STATES TRACTION AND BRAKE LAMPS ON- BRAKE PEDAL GOES TO FLOOR,Unconfirmed,0
1469,132.6,77.74,1033,49238,CUST STATES  THERE IS A SQUEAKING NOISE WHILE APPLYING BRAKES.,Unconfirmed,0
1469,143.94,86.26,883,32786,CUSTOMER STATES THE A SQUEAKING NOISE IS AUDIBLE WHEN THEBRAKE PEDAL IS PUMPED. CHECK AND ADVISE.,Unconfirmed,0
1469,143,289.62,748,33980,"CUSTOMER STATES LDW, FCW, BRAKE LIGHT COMES ON INTERMITTENTLY, TRACTION CONTROL LIGHTS ALL COMING ON CHECK/ADVISE NOT RUNNING ROUGH",Unconfirmed,0
1469,142.74,86.26,331,6946,"CUSTOMER STATES THE BRAKE PEDAL HAS STILL BECOME VERY STIFF DURING EXTREME COLD WEATHER, SUSPECTS THE BRAKE BOOSTERIS THE CAUSE, LEAVING OVERNIGHT MONDAY TO TRY TO DUPLICATE,HONDA DPSM AWARE OF ISSUE",Unconfirmed,0
1469,148.29,247.73,233,5875,CUSTOMER NOTED BRAKE WARNINGL LIGHT IS ON,Unconfirmed,0
1469,94.5,53.81,1322,31413,COMPLAINT;CUSTOMER REQUESTS BRAKE LININGS BE INSPECTED. CUSTOMER STATES HEARS NOISE FROM BRAKES WHEN APPLYIMG OR RELEASING MAKES NOISE SOMETIMES WORSE WHEN AT STOP AND RELEASES STATES DOES NOT THINK IT IS COMING FROM PADS BUT IN BETWEEN PEDAL AND PAD,Unconfirmed,0
1469,285.2,173.61,292,9189,CUSTOMER STATES THIS MORNING THE LOW BRAKE FLUID WARNING LIGHT CAME ON ALONG WITH THE POWER STEERING; BRAKE SYSTEM;BRAKE HOLD; HILL ASSIST AND VSA WARNING LIGHTS ALL CAME ONAFTER DRIVING FOR 15 MINS ADVISE,Unconfirmed,0
1469,215.6,722.37,213,10945,C/S: CUST STATES BRAKE PETAL GOES TO THE FLOOR,Unconfirmed,0
1469,149.5,59.64,33,1438,CS AT LEAST 6 TIMES THE VEHICLE IS NOT RECOGNIZING THE KEYFOB TO START IT. WHEN THIS HAPPENS THE BRAKEPEDAL IS FULL PRESSED AND CUSTOMER HAS TO GET OUT OF VEHICLE LOCK UNLOC K THEN START THE CAR.  FOND FAULTY VACUUM BOOSTER AND MASTER POWER TUBE. REP,Unconfirmed,0
1469,180.8,195.6,374,18738,CUSTOMER STATES BRAKE LIGHT COMES ON WHEN BRAKES ARE APPLIED AND FLUID IS LOW,Unconfirmed,0
1469,162.5,70.66,551,36881,CUST STATES / SQUEAKING BRAKE PEDAL WAS NOTED NEEDING A BRAKE BOOSTED LAST SERVICE TECH REPLACED NOISY BRAKE BOOSTERAND BLED BRAKES  PERFRMD ROAD TEST NO NOISE PRESENT,Unconfirmed,0
1469,237.15,1646.28,1308,30184,CUSTOMER STATES BRAKE FLUID IS LEAKING,Unconfirmed,0
1469,286,70.66,946,44779,CUSTOMER STATES: THE CAR WILL NOT START AT TIMES AND THE BRAKE PEDAL FEELS VERY HARD.,Unconfirmed,0
1469,134.81,49.78,351,5206,ABNORMAL NOISE WHEN RELEASING BRAKES,Unconfirmed,0
1469,173.6,50.59,201,7873,CUSTOMER STATES BRAKE LIGHT AND MULTIPLE DASH DISPLAY LIGHT IS ON ADVISE TO NEEDED REPAIR SEE HISTORY,Unconfirmed,0
1469,69,0,0,2,AT START UP THE BRAKE PEDAL JERKS BACK. DTC STORED. CLEARED CODE AND TEST DROVE.,Unconfirmed,0
1469,149.5,184.75,19,683,C/S BRAKE FLUID LEAKING TECH FOUND BOOSTER TO HAVE INTERNAL FAILURE,Unconfirmed,0
1469,37.2,0,0,225,"C/S SQUEAKING NOISE WHEN PRESSING BRAKE, VERIFIED NOISE ISCOMING FROM BRAKE PEDAL PUSH ROD, CLEANED AND LUBRICATED, OK AT THIS TIME",Unconfirmed,0
1469,149.5,52.83,338,14556,CUSTOMER STATES BRAKE PEDAL VERY STIFF WHEN SITS OVERNIGHTTHEN WHEN STARTING CAR PEDAL GETS SOFT,Unconfirmed,0
1469,297,242.2,861,30905,CUSTOMER STATES THE BRAKE PEDAL MAKES A SQUEAKING NOISE; PLEASE ADVISE (SOP BRAKE BOOSTER IN STOCK),Unconfirmed,0
1469,210,65.2,746,30477,CLIENT STATES THAT THERE IS A CLICKING SOUND COMING FROM BRAKE PEDAL/PEDAL AREA AS PEDAL IS BOTH PRESSED AND RELEASED. TEST DROVE FOUND NOISE COMING FROM BRAKE BOOSTER PUSH ROD. REPLACE BRAKE BOOSTER DUE TO PUSH ROD BINDING,Unconfirmed,0
1469,196.2,243.34,453,15509,THE CHECK ENGINE LIGHT HAS BEEN ON WITH TROUBLE CODE C0049-7B STORED (BRAKE FLUID LEVEL TOO LOW) THE LIGHT ISN`T ONAT THIS TIME.,Unconfirmed,0
1469,78,0,493,24521,CUSTOMER STATES WHILE DRIVING ; SYSTEM SAYS BRAKE FLUID ISLOW,Unconfirmed,0
1469,287.5,220.53,388,28625,CUST0MER STATES BRAKE LIGHT FLUID LEVEL LOW KEEPS COMING ON. SEE ATTACHED HISTORY,Unconfirmed,0
1469,175,182.58,423,9116,CUSTOMER STATES WHEN APPLYING THE BRAKES. THERE IS A LOW BRAKE FLUID WARNING. THIS ISSUE WAS ADDRESSED IN FLORIDA BUT CUSTOMER HAS NOTICED IT BECOME MORE OF A PROBLEM EVEN WHEN APPLYING THE BRAKES SOFTLY; HE WOULD GET THE WARNING,Unconfirmed,0
1469,262.5,239.03,208,7761,NIGHT DROP FOR SAT. REPAIR -C/S DASH LIGHTS BACK ON/ LOANER CAR,Unconfirmed,0
1469,182,65.26,561,14821,CUSTOMER STATES ALL ERROR LIGHT ARE ON  CLAIM 2 OF 2 FOR JOB,Unconfirmed,0
1469,207.9,1276.04,1300,18164,C/S: CUSTOMER STATES HAS OIL DRIPING INSIDE FROM BRAKE PEDAL ARM ONTO FLOOR MAT; CHECK AND ADVISE;;;,Unconfirmed,0
1469,138,85.41,0,41,BRAKE BOOSTER LEAKING AIR,Unconfirmed,0
1469,143.94,85.41,858,31865,CUSTOMER STATES THE BRAKES ARE SQUEALING. CHECK AND ADVISE,Unconfirmed,0
1469,120.4,50.59,211,5382,REPLACE BRAKE BOOSTER,Unconfirmed,0
1469,169,66.13,78,283,"CUSTOMER STATES SOMETIMES WHEN STARTING VEHICLE, BRAKE PEDAL WILL NOT PUSH DOWN AND VEHICLE WILL NOT START-WILL ONLYSTART IF REMOTE STARTED-INSTALL BRAKE BOOSTER AS PER MARK",Unconfirmed,0
1469,195.73,58.13,208,4788,BRAKE LIGHT ON BRAKE FLUID LEAKING,Unconfirmed,0
1469,161,50.59,373,11378,"CUSTOMER STATES THE BRAKE PEDAL DOES NOT DEPRESS AFTER USE, CHECK AND ADVISE",Unconfirmed,0
1469,67.77,0,359,18214,CUSTOMER STATES BRAKE SYSTEM PROBLEM POPPED UP. CHECK ANDADVISE.,Unconfirmed,0
1469,158.49,67.51,146,21842,"WHEN YOU PRESS THE BRAKE TO START THE TRUCK IT IS ""SOLID"".",Unconfirmed,0
1469,187.23,256.92,746,15160,MASTER CYLINDER SERVO SET PART HAS ARRIVED - FOUND THE MASTER CYLINDER IS LOW TRACE TO A FAULTY BRAKE MASTER CYLINDER  FILL THE BRAKE MASTER CYLINDER RESERVOIR AND BLEED THE SYSTEM   ORDERED THE MASTER CYLINDER B O DEC 2 --15,Unconfirmed,0
1469,86.5,64.66,86,3734,C/C OF BRAKE PEDAL IS HARD TO PUSH WHEN TRYING TO START.HAPPENING MORE WHEN COLDER OUTSIDE,Unconfirmed,0
1469,221,50.59,310,5552,CUSTOMER STATES THAT BRAKE PEDAL IS NOT RESPONSIVE. CHECKAND ADVISE,Unconfirmed,0
1469,143,52.83,279,9636,CUSTOMER STATES BRAKE PEDAL DIFFICULT TO PRESS BEFORE STARTING CAR.  NO BRAKE ASSIST PRIOR TO STARTING.,Unconfirmed,0
1469,25,0,902,17692,CUSTOMER STATES PORTABLE VACUUM IN THE BACK NOT WORKING. PLEASE ADVISE,Unconfirmed,0
1469,42.31,2.85,145,3627,CHECK FOR BRAKES DELAY RESPONSE ON INITIAL BRAKE,Unconfirmed,0
1469,165.6,64.32,221,11942,CUST STATES; WHEN PUSHING NORMAL ON BRAKE WHILE COMING TOASTOP; HEARS A LOUD SQUEAL; WHISTLE. VERY OBVIOUS.,Unconfirmed,0
1469,154,50.59,403,26839,BRAKE POWER BOOSTER REPLACED WHEN MODULATOR WAS REPLACED,Unconfirmed,0
1469,297,0,0,10,C/S WHILE DRIVING THE LANE CHANGE ASSIT INDICATOR COME ON,Unconfirmed,0
1469,212.4,58.13,242,8004,TECHLINE REF #3955062/BRAKES HARD TO PUSH,Unconfirmed,0
1469,153.4,52.83,550,21010,"CUSTOMER STATES NO RESPONSE WHEN STARTER BUTTON IS PRESSED, BRAKE PEDAL VERY HARD. FOUND BRAKE BOOSTER BLEEDING DOWN, CANT PRESS TO START CAR. REPLACED BRAKE BOOSTER",Unconfirmed,0
1469,162.5,58.07,397,18132,C/S BRAKE PEDAL FEELS LOOSE; AND ALSO MAKES A CRACKING NOISE,Unconfirmed,0
1469,195.5,50.59,235,7547,CUSTOMER STATES VSA LIGHT AND OTHEWR WARNING LIGHTS ARE ONTHE DASH  CLAIM 2 OF 2 FOR JOB A,Unconfirmed,0
1469,175.5,87.85,1150,49429,PER DPSM REPLACE BRAKE BOOSTER DUE TO STIFF BRAKE PDL,Unconfirmed,0
1469,345,55.02,1132,39689,CUSTOMER STATES WHEN BRAKING THEY HEAR A HISSING SOUND ROMTHE BRAKES CHEK AND ADVISE,Unconfirmed,0
1469,143.79,45.63,791,16859,WHEN RELEASING THE BRAKE CAN HEAR A CLUNK TYPE OF NOISE,Unconfirmed,0
1469,206.7,72.34,629,35650,CUSTOMER STATES THE BRAKE PEDAL MAKES A POPPING SOUND WHENBEING RELEASED,Unconfirmed,0
1469,93.61,0,716,38680,CLICKING NOISE UNDER HARD BRAKING  PLEASE CHECK  HEARD INSIDE CAR AT PEDAL.,Unconfirmed,0
1469,149.5,56.37,360,15895,"CS: SHE FEELS SHE IS PUSHING DOWN ON THE BRAKES FEELS SOFTPEDAL, HEARS A CLICKING SOUND. REPLACED BRAKE BOOSTER ASS EMBLY",Unconfirmed,0
1469,41.34,0,0,6,CHECK AWD LIGHT AND TPMS LIGHT AND ABS LIGHT COME ON FOUND AT TEST DRIVE DURING PDI,Unconfirmed,0
1469,33,0,0,13,CUSTOMER STATES THAT VEHICLE NEEDED TO BE JUMP STARTED OFFTHE TRANSPORTATION TRUNCK.VEH HAD CODE U30003-16 FOR BRAKECONTROL UNIT FAILURE.RESET THE ABS/VSA PGM-FI AND EPS LIG HTS,Unconfirmed,0
1469,162.5,56.37,300,18426,"CUSTOMER STATES THE SAME PROBLEM FROM BEFORE WITH THE BRAKE BOOSTER IS STILL HAPPENING, WHENEVER VEHICLE IS STOPPEDAFTER MOVING IN REVERSE, IT WILL CONTINUE TO ROLL FOR ABOUT1-2 FEET WITH THE BRAKE PEDAL TO THE FLOOR. PLEASE CHECKA ND ADIVSE",Unconfirmed,0
1469,488.57,44.39,727,20863,RATTLE/VIBRATION COMING FROM FRONT END,Unconfirmed,0
1469,220,381.88,1505,85123,CUSTOMER STATES THEY HEAR A POPPING/CREEKING NOISE WHEN RELEASING BRAKE PEDAL,Unconfirmed,0
1469,177.8,48.41,386,10540,CUST STATES BRAKE LIGHT AND VSA LIGHT COMING ON WHILE DRIVING,Unconfirmed,0
1469,43.5,0,233,5939,"CHECK WHEN STOPPING AND CAR IS PUT IBNTO PARK MESSAGE INT.COMES ON STATING TO PUT FOOT ON BRAKE ; FOOT IS ALREADY ONBRAKE ?E IS DISPLAYED, TECH LINE REF#3948572.",Unconfirmed,0
1469,43.5,0,151,5552,CHECK BRAKE SYSTEM MESSAGE CAME ON WHILE DRIVING AND THEN TURNED OFF. FOUND CODE C101-95 BRAKE BOOSTER SENSOR MALFUNCTION. CLEAR CODE.,Unconfirmed,0
1469,754,1661.24,1399,27502,UPON BATTERY REPLACEMENT FOUND CAR WOULD STILL NOT START,Unconfirmed,0
1469,377.29,172.55,125,1749,CLIENT STATES THAT ALL WARNING LIGHT BACK ON - BRAKE . BRAKE FLUID. VSA ETC .... AA61483 1.REMOVED ALL WHEELS & CALIPERS TO LOOK FOR LEAK INSPECTED (ALL BRAKE LINES RE/RE UNDERBODY COVERS NO LEAK) 2REPL,Unconfirmed,0
1469,166.4,65.26,801,21375,CUSTOMER STATES IF CAR SITS FOR 2 DAYS VERY HARD TO PUSH BRAKE PEDAL DOWN TO START THE CAR SAME ISSUE AS LST TIME CHECK AND REPORT FOUND FAULTY BRAKE BOOSTER REPLACED BRAKE BOOSTER,Unconfirmed,0
1469,90,106.03,1176,34744,CUSTOMER STATES BRAKE PEDAL HARD TO PUSH DOWN,Unconfirmed,0
1469,238,67.3,101,11129,BRAKE BOOSTER,Unconfirmed,0
1469,220.3,73.33,741,19711,CHECK ENGINE LIGHT IS ON INSTALL SOP,Unconfirmed,0
1469,156,69.96,1146,27826,CUSTOMER STATES THERE IS SOME SQUEEKING NOISE COMING FROMBRAKE PEDAL CHECK AND ADVISE,Unconfirmed,0
1469,177.45,241.83,748,16978,CUSTOMER STATES BRAKE CONCERNS SAME A LAST VISIT TALKED TOMAURO. PLEASE ADVISE,Unconfirmed,0
1469,220.5,83.57,689,25362,VEHICLE TRAVELED AFTER BRAKE WAS APPLIED-FOUND INTERNAL VACUUM & IMPROPER SEAL-REMOVED & REPLACED BRAKE BOOSTER & VACUUM SUPPLY LINE-TECH LINE REF # 3948211,Unconfirmed,0
1469,47.1,0,197,9474,PERFORM BRAKE INSPECTION CLIENT STATES THAT HE WAS PARKINGAND THE BRAKE PEDAL WENT TO THE FLOOR PLEASE CHECK AND ADVISE,Unconfirmed,0
1469,142.8,75.55,315,17682,CUSTOMER STATES: VEHICLE IS HARD TO START - DOESN`T ALWAYSCRANK. CHECK AND ADVISE. U0060213,Unconfirmed,0
1469,149.21,52.83,41,1188,CUSTOMER STATES BRAKE PEDAL SEEMS SOFT. WHEN APPLYING THEBRAKES. INSTALL SOP BRAKE BOOSTER AND MASTER CYLINDER,Unconfirmed,0
1469,55.8,0,7,228,INSPECT; THE ADAPTIVE CRUISE; LANE WATCH AND BRAKE LIGHTSALL CAME ON WHEN DRIVING,Unconfirmed,0
1469,172.81,54.13,325,14497,TECH FOUND AIR ESCAPING FROM THE BRAKE BOOSTER CAUSING TECH FOUND AIR ESCAPING FROM THE BRAKE BOOSTER CAUSING ASSEMBLY.,Unconfirmed,0
1469,232,138.51,1330,19301,NOISE COMING FROM BRAKES WHEN PEDAL APPLIED,Unconfirmed,0
1469,156,209.6,1228,31593,CUSTOMER STATES THAT THE VEHICLE IS INTERMITTENTLY NOT STARTING AGAIN. CUSTOMER WOULD PRESS THE BRAKE PEDAL AND PUSHTHE START BUTTON AND IT MAKES SOME CLICK SOUNDS. CUSTOMERWOULD THEN PRESS DOWN HARD ON THE BRAKE PEDAL AND THE VEHICLE STARTED.,Unconfirmed,0
1469,151.2,175.5,147,6233,PARKING BRAKE WARNING LIGHT ON FOUND MASTER CYLINDER LEAKING INTO BRAKE BOOSTER RPL BRAKE BOOSTER AND MASTER CYLINDER,Unconfirmed,0
1469,171.6,76.94,430,17871,CUSTOMER STATES PEDAL IS HARD MUST WAIT APPROXIMATELY 30 MINS BEFORE PEDAL SOFTENS UP CHECK AND ADVISE,Unconfirmed,0
1469,175,52.2,339,14240,"CHECK BRAKES:CUSTOMER STATES WHEN BRAKING THERE IS AIR NOISE POSSIBLE COMING FROM BRAKE BOOSTER, CHECK AND ADVISE",Unconfirmed,0
1469,155.94,202.68,36,1576,CUSTOMER STATES THAT THE BRAKES ARE SOFT. PLEASEE CHECK AND ADVISE.,Unconfirmed,0
1469,103.5,205.65,31,628,CUSTOMER STATES YESTERDAY MORNING AN INDICATOR FOR BRAKE FLUID LEVEL CAME ON. THEY HAVE HAD TO ADD 2 PINTS SINCE. FOUND MASTER CYLINDER LEAKING INTO BOOSTER - FAILED REAR SEAL - REP MASTER CYL & BOOSTER,Unconfirmed,0
1469,36,0,2,144,CUST STATES AUTO ENGINE IDLE STOP SYSTEM PROBLEM/AFTER 6-7MILES OF DRIVING INDICATOR COMES ON CHECK AND ADVISE REPAIR,Unconfirmed,0
1469,132.06,87.02,362,3130,CUSTOMER STATES THE BRAKE PEDAL AREA SQUEAKS AND MAKES ANAIR NOISE,Unconfirmed,0
1469,208,149.85,173,7161,WHEN COMING TO A HARD STOP BRAKE LIGHT FLASH ON 3-5 SEC CHECK AND ADVISE NO BRAKE FLUID IN MASTER CYLINDER,Unconfirmed,0
1469,188.5,69.96,957,31297,CUSTOMER STATES WHEN DEPRESSING THE BRAKE HEARS A NOISE,Unconfirmed,0
1469,194.45,67.87,957,31239,NOISE ON START UP,Unconfirmed,0
