Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,BedroomAbvGr,FullBath,OverallQual,HeatingQC,SalePrice
NridgHt,VinylSd,2006,110.0,1973,895,3,2,8,Gd,395000
Mitchel,VinylSd,1998,32.0,1204,412,2,2,6,Ex,162000
CollgCr,VinylSd,2005,86.0,1614,865,3,2,7,Ex,221500
Sawyer,HdBoard,1974,100.0,894,440,3,1,5,TA,142500
SawyerW,Plywood,1977,60.0,2020,630,4,2,5,TA,144000
Mitchel,Plywood,1977,78.0,1004,504,2,1,6,TA,135000
Gilbert,HdBoard,1995,63.0,1253,402,3,2,7,Gd,176000
SawyerW,VinylSd,1992,65.0,1603,484,3,2,6,Ex,175900
CollgCr,VinylSd,2001,67.0,1430,605,3,2,7,Ex,187100
Mitchel,Plywood,1978,,1110,602,1,1,5,Ex,165500
OldTown,Wd Sdng,1914,35.0,1484,0,3,2,6,Ex,128000
NWAmes,BrkFace,1967,,1342,457,3,2,6,TA,161500
OldTown,MetalSd,1915,60.0,1652,416,4,2,5,TA,139000
SawyerW,VinylSd,2004,76.0,2084,618,4,2,7,Ex,233000
OldTown,MetalSd,1954,50.0,901,281,2,1,4,Ex,107900
ClearCr,HdBoard,1966,,2087,444,5,2,6,Gd,187500
Blmngtn,VinylSd,2005,43.0,1145,397,2,2,7,Ex,160200
Mitchel,HdBoard,1976,,1062,539,3,1,6,TA,146800
NoRidge,MetalSd,1996,92.0,2013,455,3,2,7,Ex,269790
Somerst,CemntBd,2007,76.0,1496,474,3,2,8,Ex,225000
Gilbert,MetalSd,1994,,1895,409,3,2,7,Ex,194500
SawyerW,HdBoard,1980,70.0,1564,476,3,2,6,TA,171000
Sawyer,Plywood,1977,71.0,1285,528,3,1,6,Ex,143500
NAmes,VinylSd,1953,57.0,773,240,2,1,5,Gd,110000
NridgHt,VinylSd,2008,104.0,3140,820,4,3,9,Ex,485000
SWISU,Wd Sdng,1937,60.0,1768,240,3,1,5,Ex,175000
ClearCr,VinylSd,1997,79.0,1688,603,4,2,6,Gd,200000
IDOTRR,MetalSd,1916,40.0,1196,440,2,1,4,Ex,109900
CollgCr,WdShing,2005,63.0,1456,410,3,2,7,Ex,189000
NridgHt,VinylSd,2008,107.0,2822,1020,4,3,9,Ex,582933
NAmes,Wd Sdng,1954,75.0,1128,286,2,1,5,TA,118000
Somerst,VinylSd,2008,91.0,1428,554,3,2,7,Ex,227680
NAmes,VinylSd,1967,75.0,980,384,3,2,5,Gd,135500
BrkSide,Wd Sdng,1923,144.0,1576,528,3,1,5,Ex,223500
NAmes,VinylSd,1966,85.0,1086,484,3,1,5,TA,159950
OldTown,AsbShng,1898,90.0,2138,360,2,2,5,TA,106000
NWAmes,HdBoard,1974,78.0,1309,484,3,1,6,Fa,181000
CollgCr,VinylSd,2004,,848,420,1,1,6,Ex,144500
IDOTRR,Wd Sdng,1952,66.0,1044,504,2,1,5,TA,55993
NAmes,MetalSd,1958,75.0,1442,301,4,1,6,Gd,157900
Edwards,Stucco,1918,45.0,1250,280,3,1,5,Gd,116000
CollgCr,VinylSd,1998,48.0,1661,598,3,2,7,Ex,224900
NAmes,BrkFace,1954,,1008,275,2,1,5,Gd,137000
Mitchel,CemntBd,2002,,1689,857,3,2,8,Ex,271000
ClearCr,HdBoard,1971,80.0,1052,440,3,1,6,Gd,155000
NridgHt,VinylSd,2009,44.0,1358,484,2,2,7,Ex,224000
CollgCr,VinylSd,2003,72.0,1640,595,3,2,7,Ex,183000
OldTown,MetalSd,1953,60.0,936,576,2,1,4,TA,93000
Gilbert,VinylSd,2003,,1733,433,3,2,7,Ex,225000
SWISU,VinylSd,1940,60.0,1489,240,3,2,6,TA,139500
Somerst,VinylSd,2006,81.0,1489,776,3,2,8,Ex,232600
NridgHt,CemntBd,2007,114.0,2084,1220,2,2,10,Ex,385000
BrkSide,MetalSd,1924,50.0,784,0,2,1,5,Gd,109500
SawyerW,VinylSd,2001,65.0,1434,527,3,2,7,Ex,189000
ClearCr,Plywood,1967,,2126,538,3,2,5,TA,185000
Somerst,MetalSd,2005,24.0,1223,480,2,2,7,Ex,147400
NAmes,HdBoard,1957,80.0,1392,458,3,1,6,TA,166000
Somerst,MetalSd,2005,30.0,1200,480,2,2,7,Ex,151000
CollgCr,VinylSd,2003,44.0,1829,613,3,2,7,Ex,237000
NAmes,HdBoard,1964,100.0,1516,472,3,1,6,TA,167000
NAmes,VinylSd,1961,75.0,1144,456,3,1,5,Gd,139950
Sawyer,VinylSd,1950,60.0,1067,436,2,2,4,TA,128000
OldTown,VinylSd,1948,90.0,1559,812,2,1,5,Gd,153500
BrDale,HdBoard,1973,21.0,987,264,2,1,6,TA,100000
CollgCr,VinylSd,1995,75.0,1099,352,3,1,5,Ex,144000
Edwards,MetalSd,1946,70.0,1200,240,3,1,5,Ex,130500
SWISU,Wd Sdng,1925,,1482,400,4,2,6,TA,140000
OldTown,MetalSd,1904,60.0,1539,686,3,2,5,Gd,157500
NAmes,HdBoard,1966,82.0,1165,490,3,1,6,TA,174900
NAmes,BrkFace,1961,80.0,1800,0,6,2,5,Ex,141000
OldTown,Wd Sdng,1915,100.0,1416,720,4,1,5,Gd,153900
Sawyer,HdBoard,1975,,1701,611,3,2,5,TA,171000
SawyerW,HdBoard,1993,75.0,1775,425,3,2,7,Ex,213000
CollgCr,HdBoard,1972,36.0,864,338,3,1,5,Ex,133500
ClearCr,Wd Sdng,1908,75.0,2358,360,5,3,6,TA,240000
Veenker,Plywood,1976,80.0,1855,512,3,2,6,Ex,187000
CollgCr,VinylSd,2003,36.0,848,420,1,1,6,Ex,131500
Blmngtn,VinylSd,2003,,1456,400,2,2,8,Ex,215000
Crawfor,MetalSd,1941,53.0,1646,240,4,2,7,Gd,164000
NAmes,MetalSd,1964,,1445,645,3,1,6,TA,158000
Sawyer,Wd Sdng,1955,102.0,1779,454,3,1,5,TA,170000
Sawyer,HdBoard,1962,,1040,260,3,1,5,Ex,127000
CollgCr,Plywood,1978,,1026,576,3,1,6,TA,147000
Gilbert,HdBoard,1994,65.0,1481,343,3,2,6,Gd,174000
NWAmes,HdBoard,1976,80.0,1370,479,3,2,7,TA,152000
NWAmes,HdBoard,1968,,2654,619,4,2,6,TA,250000
Crawfor,Wd Sdng,1918,55.0,1426,216,3,1,7,Gd,189950
Sawyer,Plywood,1965,75.0,1039,504,3,1,5,Ex,131500
SawyerW,HdBoard,1984,81.0,1097,480,3,2,6,TA,152000
NAmes,BrkFace,1959,70.0,1148,672,3,1,5,TA,132500
Somerst,VinylSd,2007,72.0,1372,529,3,2,7,Ex,250580
NAmes,MetalSd,1970,,1002,902,3,1,5,TA,148500
Timber,VinylSd,2006,67.0,1646,870,3,2,8,Ex,248900
Sawyer,VinylSd,1961,85.0,1120,544,3,1,4,TA,129000
Gilbert,Plywood,1948,,2320,672,2,2,5,Gd,169000
SawyerW,MetalSd,1993,80.0,1949,574,3,2,7,Ex,236000
NAmes,MetalSd,1962,60.0,894,308,2,1,5,Gd,109500
CollgCr,VinylSd,1998,70.0,1682,523,3,2,6,Ex,200500
NAmes,WdShing,1953,74.0,910,414,3,1,5,Gd,116000
NAmes,HdBoard,1949,60.0,1268,288,3,1,5,Gd,133000
OldTown,Wd Sdng,1941,52.0,1131,200,3,1,5,Ex,66500
Somerst,CemntBd,2007,75.0,2610,550,4,2,8,Ex,303477
Mitchel,HdBoard,1963,94.0,1040,648,3,1,4,Gd,132250
NridgHt,VinylSd,2004,74.0,2224,738,4,2,9,Ex,350000
Sawyer,HdBoard,1961,88.0,1155,576,3,1,5,TA,148000
CollgCr,VinylSd,1978,,864,336,3,1,5,Ex,136500
Edwards,VinylSd,2005,60.0,1090,450,2,1,5,Gd,157000
Timber,HdBoard,1990,44.0,1717,400,3,2,7,Ex,187500
Gilbert,VinylSd,1992,,1593,389,3,2,6,Gd,178000
SWISU,Wd Sdng,1912,60.0,2230,440,5,1,4,TA,118500
NAmes,HdBoard,1967,65.0,892,288,3,1,5,TA,100000
Somerst,MetalSd,1999,50.0,1709,506,2,2,9,Ex,328900
NAmes,MetalSd,1959,70.0,1712,588,4,2,5,Ex,145000
Edwards,MetalSd,1955,59.0,1393,300,3,1,5,TA,135500
NAmes,Wd Sdng,1970,95.0,2217,621,4,2,8,Ex,268000
NAmes,Wd Sdng,1953,128.0,1505,505,2,1,6,Ex,149500
NAmes,MetalSd,1949,60.0,924,576,3,1,5,Ex,122900
Sawyer,HdBoard,1978,70.0,1683,440,3,2,6,Gd,172500
Sawyer,HdBoard,1963,70.0,1068,264,3,1,6,TA,154500
Sawyer,Wd Sdng,1954,,1383,354,3,1,5,TA,165000
SawyerW,Plywood,1979,64.0,1535,400,4,2,5,TA,118858
NAmes,HdBoard,1963,71.0,1796,483,4,1,6,TA,140000
IDOTRR,Wd Sdng,1936,50.0,951,327,2,1,4,Ex,106500
SawyerW,Plywood,1979,64.0,2240,528,6,2,5,TA,142953
NridgHt,VinylSd,2009,100.0,2364,820,2,2,9,Ex,611657
Sawyer,HdBoard,1961,65.0,1236,288,3,1,5,TA,135000
NAmes,HdBoard,1971,,858,684,2,1,4,TA,110000
NAmes,MetalSd,1957,64.0,1306,756,2,1,5,TA,153000
Gilbert,VinylSd,2003,63.0,1509,393,3,2,7,Ex,180000
Gilbert,VinylSd,2006,50.0,1670,690,3,2,7,Ex,240000
Sawyer,HdBoard,1967,,902,288,3,1,5,TA,125500
NAmes,HdBoard,1954,80.0,1063,280,3,1,5,TA,128000
Somerst,VinylSd,2006,116.0,1636,865,3,2,8,Ex,255000
Crawfor,BrkFace,1936,86.0,2057,180,3,1,7,Gd,250000
Mitchel,HdBoard,1983,,902,484,2,1,5,TA,131000
Gilbert,VinylSd,2005,149.0,1484,390,3,2,6,Ex,174000
NAmes,MetalSd,1960,80.0,2274,480,5,2,5,TA,154300
CollgCr,HdBoard,1977,,1268,252,3,1,5,TA,143500
BrkSide,MetalSd,1925,51.0,1015,450,3,1,5,TA,88000
Crawfor,MetalSd,1949,82.0,2002,871,4,2,5,TA,145000
Somerst,VinylSd,2009,30.0,1224,528,2,2,6,Ex,173733
MeadowV,CemntBd,1970,21.0,1092,286,3,1,4,Fa,75000
IDOTRR,AsbShng,1949,50.0,480,308,1,0,2,TA,35311
Edwards,VinylSd,1956,,1229,284,3,1,4,Ex,135000
SawyerW,HdBoard,1991,103.0,2127,833,4,2,7,Ex,238000
NAmes,MetalSd,1958,87.0,1414,601,3,1,6,Ex,176500
SawyerW,HdBoard,1994,70.0,1721,471,3,2,6,Ex,201000
Edwards,MetalSd,1900,67.0,2200,0,4,2,5,Gd,145900
Gilbert,VinylSd,2005,65.0,1316,397,3,2,6,Ex,169990
SawyerW,Plywood,1993,50.0,1617,533,2,2,6,Ex,193000
NWAmes,Plywood,1980,79.0,1686,612,3,2,6,TA,207500
NWAmes,VinylSd,1977,,1126,540,3,2,5,TA,175000
NridgHt,VinylSd,2003,93.0,2374,656,4,2,8,Ex,285000
NWAmes,MetalSd,1968,,1978,486,4,2,7,Gd,176000
CollgCr,VinylSd,2001,,1788,522,3,2,8,Ex,236500
Gilbert,HdBoard,1997,,2236,642,4,2,7,Gd,222000
Timber,VinylSd,2007,73.0,1466,610,3,2,8,Ex,201000
NAmes,VinylSd,1965,70.0,925,429,2,1,5,Ex,117500
Somerst,VinylSd,2006,84.0,1905,788,3,2,9,Ex,320000
CollgCr,VinylSd,2004,63.0,1500,570,3,2,7,Ex,190000
NAmes,Wd Sdng,1960,313.0,2069,505,4,2,7,Ex,242000
BrkSide,MetalSd,1926,52.0,747,528,1,1,4,Gd,79900
SawyerW,VinylSd,2003,67.0,1200,555,2,2,7,Ex,184900
Somerst,VinylSd,2005,75.0,1971,689,3,2,7,Ex,253000
CollgCr,VinylSd,2006,73.0,1962,868,3,2,7,Ex,239799
ClearCr,MetalSd,1940,,2403,349,4,2,7,Ex,244400
Mitchel,Plywood,1976,55.0,1728,574,4,2,6,TA,150900
Gilbert,VinylSd,1999,,2060,390,3,2,7,Ex,214000
Edwards,MetalSd,1977,42.0,1440,0,4,2,4,TA,150000
Mitchel,HdBoard,1967,100.0,1632,576,4,2,5,TA,143000
Timber,HdBoard,1958,,1344,525,3,1,6,Gd,137500
OldTown,VinylSd,1890,98.0,1869,456,2,1,5,TA,124900
NAmes,HdBoard,1959,70.0,1144,796,3,1,5,TA,143000
Timber,VinylSd,2002,85.0,1629,808,3,2,8,Ex,270000
CollgCr,VinylSd,2002,65.0,1776,474,3,2,7,Ex,192500
NWAmes,Plywood,1972,78.0,1381,676,3,1,6,TA,197500
NAmes,VinylSd,1950,60.0,864,720,3,1,5,Gd,129000
SawyerW,VinylSd,1965,60.0,965,300,3,1,5,Gd,119900
CollgCr,WdShing,1972,60.0,768,396,2,1,5,Gd,133900
Mitchel,HdBoard,1969,,1968,530,4,2,5,Ex,172000
Edwards,WdShing,1975,35.0,980,0,4,2,6,TA,127500
Crawfor,MetalSd,1946,82.0,1958,492,4,2,6,TA,145000
Blueste,MetalSd,1980,24.0,1229,462,2,1,6,TA,124000
Sawyer,MetalSd,1962,70.0,1057,576,3,1,5,TA,132000
CollgCr,VinylSd,2003,65.0,1337,531,3,2,7,Ex,185000
Somerst,MetalSd,1999,24.0,1416,484,3,2,7,Ex,155000
BrkSide,Wd Sdng,1958,50.0,858,0,2,1,5,Gd,116500
NWAmes,HdBoard,1977,,2872,619,4,2,6,TA,272000
NPkVill,Plywood,1976,24.0,1548,440,3,2,6,TA,155000
CollgCr,VinylSd,2007,122.0,1800,702,2,2,9,Ex,239000
Timber,VinylSd,2002,80.0,1894,510,4,2,7,Ex,214900
Gilbert,VinylSd,2005,65.0,1484,393,3,2,6,Ex,178900
Crawfor,MetalSd,1940,130.0,1308,256,2,1,5,Ex,160000
NAmes,Wd Sdng,1955,,1098,260,3,1,5,TA,135000
OldTown,VinylSd,1910,50.0,968,0,2,1,3,Fa,37900
NAmes,HdBoard,1958,75.0,1095,264,2,1,6,TA,140000
NAmes,AsbShng,1949,60.0,1192,0,4,1,4,TA,135000
NridgHt,VinylSd,2003,36.0,1626,474,2,2,7,Ex,173000
SawyerW,Plywood,1979,55.0,918,264,2,2,6,TA,99500
Somerst,CemntBd,2007,95.0,1428,480,3,2,7,Ex,182000
BrkSide,HdBoard,1910,60.0,2019,532,3,1,7,TA,167500
Somerst,MetalSd,2000,,1382,490,3,2,7,Ex,165000
BrkSide,Wd Sdng,1923,51.0,869,0,2,1,4,TA,85500
Somerst,VinylSd,2006,35.0,1241,569,1,1,7,Ex,199900
Edwards,MetalSd,1954,68.0,894,400,3,1,4,Ex,110000
Sawyer,VinylSd,1963,80.0,1121,480,3,1,5,TA,139000
NAmes,CemntBd,1961,,999,588,3,1,7,Gd,178400
NoRidge,VinylSd,1998,98.0,2612,676,4,2,8,Ex,336000
Blmngtn,VinylSd,2007,43.0,1266,388,2,2,7,Ex,159895
CollgCr,CemntBd,2002,,2290,779,4,2,8,Ex,255900
Mitchel,Plywood,1977,75.0,1734,539,4,2,5,TA,126000
Edwards,MetalSd,1950,68.0,1164,240,3,1,5,TA,125000
OldTown,VinylSd,1910,59.0,1635,255,2,1,6,Gd,117000
NridgHt,VinylSd,2009,83.0,1940,606,3,2,9,Ex,395192
NWAmes,Plywood,1976,,2030,551,4,2,6,TA,195000
Somerst,VinylSd,2006,65.0,1576,614,3,2,7,Ex,197000
NoRidge,VinylSd,1997,82.0,2392,870,3,2,8,Ex,348000
OldTown,Wd Sdng,1882,121.0,1742,424,4,1,8,Gd,168000
NAmes,Wd Sdng,1964,80.0,1851,440,3,2,6,Gd,187000
CollgCr,VinylSd,2005,68.0,1500,564,3,2,6,Ex,173900
NridgHt,CemntBd,2006,96.0,1718,786,3,2,10,Ex,337500
BrkSide,MetalSd,1946,51.0,1230,305,3,1,4,TA,121600
NAmes,Wd Sdng,1961,,1050,368,3,1,5,TA,136500
NWAmes,HdBoard,1970,,1442,615,2,2,6,TA,185000
IDOTRR,Wd Sdng,1922,60.0,1077,210,3,1,3,Fa,91000
CollgCr,VinylSd,2006,64.0,1208,632,2,2,7,Ex,206000
Edwards,BrkComm,1952,74.0,944,528,2,1,3,Fa,82000
OldTown,Wd Sdng,1920,60.0,691,216,2,1,5,Ex,86000
Somerst,VinylSd,2006,75.0,1574,824,3,2,8,Ex,232000
NWAmes,VinylSd,1976,,1680,528,4,2,5,Fa,136905
Blmngtn,VinylSd,2005,43.0,1504,457,1,2,7,Ex,181000
CollgCr,HdBoard,1977,65.0,985,328,3,2,5,TA,149900
NAmes,Plywood,1970,,1657,484,3,2,6,Gd,163500
MeadowV,CemntBd,1970,21.0,1092,286,3,1,4,TA,88000
Mitchel,VinylSd,2004,43.0,1710,550,3,2,7,Ex,240000
SWISU,Wd Sdng,1926,60.0,1522,0,4,2,5,Ex,102000
Sawyer,Wd Sdng,1948,115.0,1271,312,4,2,5,TA,135000
Edwards,AsphShn,1965,75.0,1664,0,4,2,5,TA,100000
Crawfor,Wd Sdng,1923,55.0,1502,180,3,1,6,TA,165000
OldTown,MetalSd,1910,60.0,1022,280,2,1,5,TA,85000
NAmes,MetalSd,1948,60.0,1082,240,2,1,6,TA,119200
NWAmes,VinylSd,2001,70.0,1665,528,3,2,8,Ex,227000
CollgCr,VinylSd,1996,73.0,1504,478,3,2,7,Ex,203000
StoneBr,HdBoard,1984,,1360,565,1,1,8,Gd,187500
Gilbert,HdBoard,1991,,1472,402,3,2,7,Gd,160000
Blmngtn,VinylSd,2005,43.0,1506,440,2,2,7,Ex,213490
Edwards,VinylSd,2005,60.0,1132,451,2,1,4,Ex,176000
CollgCr,VinylSd,2006,64.0,1220,632,2,2,7,Ex,194000
OldTown,Wd Sdng,1930,52.0,1248,160,2,1,5,Gd,87000
Blmngtn,VinylSd,2005,43.0,1504,437,2,2,7,Ex,191000
Timber,Stone,1976,,2898,665,2,2,8,TA,287000
CollgCr,VinylSd,1972,70.0,882,461,3,1,5,TA,112500
NAmes,MetalSd,1960,73.0,1264,461,3,1,5,TA,167500
Timber,VinylSd,2007,71.0,1646,800,3,2,8,Ex,293077
NAmes,WdShing,1941,79.0,1376,240,3,1,5,TA,105000
BrDale,HdBoard,1972,21.0,1218,264,3,1,6,Gd,118000
SWISU,VinylSd,1916,,1928,0,5,2,5,Gd,160000
SWISU,Wd Sdng,1920,102.0,3082,672,5,2,7,Ex,197000
NoRidge,MetalSd,1993,,2520,796,5,2,8,Ex,310000
CollgCr,VinylSd,2002,,1654,900,3,2,7,Ex,230000
Crawfor,MetalSd,1938,50.0,954,240,2,1,5,Ex,119750
Edwards,Wd Sdng,1957,,845,290,3,1,4,Ex,84000
Timber,VinylSd,2007,89.0,1620,912,2,2,9,Ex,315500
CollgCr,VinylSd,2001,,2263,905,3,2,8,Ex,287000
MeadowV,CemntBd,1970,21.0,1344,0,3,1,4,TA,97000
MeadowV,CemntBd,1970,21.0,630,286,1,1,4,TA,80000
Sawyer,Wd Sdng,1957,88.0,1803,484,3,2,5,Ex,155000
NWAmes,HdBoard,1966,,1632,484,4,1,6,Gd,173000
NridgHt,VinylSd,2005,34.0,1306,624,1,2,6,Ex,196000
SawyerW,HdBoard,1990,86.0,2329,514,4,2,7,Ex,262280
NWAmes,BrkFace,1981,80.0,2524,542,4,2,8,TA,278000
Edwards,BrkFace,1955,,1733,452,4,2,3,Ex,139600
StoneBr,CemntBd,2005,85.0,2868,716,4,3,9,Ex,556581
CollgCr,VinylSd,1994,57.0,990,672,3,1,5,Ex,145000
Mitchel,HdBoard,1960,100.0,1771,336,3,1,5,TA,115000
Edwards,MetalSd,1946,60.0,930,308,2,1,4,Ex,84900
Gilbert,VinylSd,2007,73.0,1302,436,3,2,7,Ex,176485
CollgCr,VinylSd,2007,103.0,1316,440,3,2,7,Ex,200141
NAmes,VinylSd,1964,100.0,1977,540,4,1,6,TA,165000
Edwards,HdBoard,1957,68.0,1526,364,4,1,5,Ex,144500
CollgCr,VinylSd,2002,90.0,1989,586,3,2,8,Ex,255000
NWAmes,Plywood,1976,104.0,1523,478,3,2,6,TA,180000
NridgHt,VinylSd,2005,43.0,1364,484,2,2,7,Ex,185850
NoRidge,HdBoard,1994,,1850,467,3,2,7,Ex,248000
NridgHt,VinylSd,2008,96.0,2184,836,3,2,9,Ex,335000
Crawfor,MetalSd,1932,,1991,432,3,1,6,TA,220000
StoneBr,CemntBd,2001,41.0,1338,582,2,2,8,Ex,213500
IDOTRR,MetalSd,1935,120.0,894,1248,2,1,3,TA,81000
OldTown,Wd Sdng,1900,85.0,2337,560,5,2,5,TA,90000
OldTown,MetalSd,1925,50.0,1103,440,2,1,6,Gd,110500
NAmes,Plywood,1966,,1154,480,3,1,5,Ex,154000
ClearCr,Wd Sdng,1996,80.0,2260,533,3,2,7,Ex,328000
Gilbert,VinylSd,1993,59.0,1571,380,3,2,6,Gd,178000
NAmes,HdBoard,1964,80.0,1611,442,4,1,6,TA,167900
MeadowV,CemntBd,1973,42.0,2521,576,5,2,6,Gd,151400
NAmes,MetalSd,1949,60.0,893,576,2,1,5,TA,135000
NAmes,MetalSd,1956,72.0,1048,286,3,1,5,TA,135000
NWAmes,MetalSd,1968,78.0,1556,441,4,1,6,Ex,154000
Edwards,MetalSd,1948,50.0,1456,280,4,1,5,Fa,91500
Edwards,HdBoard,1977,75.0,1426,440,3,1,6,TA,159500
CollgCr,VinylSd,2006,74.0,1240,826,2,2,7,Ex,194000
Crawfor,Wd Sdng,1940,75.0,1740,240,3,1,7,TA,219500
OldTown,Wd Sdng,1936,60.0,1466,566,3,2,5,Gd,170000
NAmes,VinylSd,1969,,1096,299,3,1,5,Ex,138800
CollgCr,VinylSd,2004,37.0,848,420,1,1,6,Ex,155900
CollgCr,VinylSd,1994,65.0,990,299,3,1,5,Gd,126000
NWAmes,VinylSd,1971,80.0,1258,528,3,2,6,Ex,145000
Sawyer,HdBoard,1963,75.0,1040,308,3,1,5,Fa,133000
CollgCr,VinylSd,2002,70.0,1459,527,3,2,7,Ex,192000
NAmes,HdBoard,1964,80.0,1251,461,3,1,6,TA,160000
Gilbert,HdBoard,1995,,1498,409,3,2,6,Gd,187500
SawyerW,HdBoard,1992,73.0,996,564,2,1,6,Ex,147000
MeadowV,CemntBd,1973,,1092,286,3,1,4,TA,83500
Somerst,VinylSd,2005,85.0,1953,1043,3,2,8,Ex,252000
Edwards,VinylSd,2004,24.0,1709,380,3,2,7,Ex,137500
Somerst,MetalSd,2005,37.0,1247,550,1,1,8,Ex,197000
NAmes,BrkFace,1950,60.0,1040,400,2,2,3,Fa,92900
Somerst,MetalSd,1999,24.0,1252,462,2,2,7,Ex,160000
SWISU,MetalSd,1925,60.0,1694,576,4,2,6,Fa,136500
NAmes,MetalSd,1965,71.0,1200,884,1,1,5,Gd,146000
NAmes,MetalSd,1956,74.0,936,308,2,1,5,Ex,129000
CollgCr,VinylSd,2006,78.0,1314,440,3,2,6,Gd,176432
IDOTRR,Wd Sdng,1914,60.0,1355,0,3,1,6,TA,127000
StoneBr,HdBoard,1986,,1088,461,2,1,8,Ex,170000
BrkSide,MetalSd,1936,50.0,1324,240,3,1,4,TA,128000
NWAmes,Plywood,1978,82.0,1601,478,3,2,7,TA,157000
SWISU,Wd Sdng,1920,60.0,438,246,1,1,2,TA,60000
NAmes,HdBoard,1971,61.0,950,280,3,1,5,TA,119500
NAmes,Wd Sdng,1960,70.0,1134,254,2,1,5,Ex,135000
NAmes,BrkFace,1959,79.0,1194,539,3,1,6,Ex,159500
BrDale,HdBoard,1970,24.0,1302,440,3,2,5,TA,106000
NoRidge,HdBoard,1994,98.0,2622,712,3,2,8,Ex,325000
SawyerW,HdBoard,1990,114.0,1442,719,3,2,7,Gd,179900
Gilbert,VinylSd,2006,168.0,2021,422,3,2,7,Ex,274725
Gilbert,VinylSd,2000,,1690,463,3,2,6,Ex,181000
NridgHt,MetalSd,2004,107.0,1836,862,3,2,8,Ex,280000
Gilbert,HdBoard,1995,,1658,431,3,2,6,Gd,188000
NWAmes,Plywood,1976,80.0,1964,483,4,2,7,TA,205000
NAmes,WdShing,1957,73.0,816,308,2,1,5,TA,129900
NAmes,Wd Sdng,1953,66.0,1008,240,2,1,5,Gd,134500
OldTown,MetalSd,1954,90.0,833,326,2,1,5,Ex,117000
NridgHt,VinylSd,2007,93.0,1734,928,3,2,8,Ex,318000
Gilbert,VinylSd,2002,,1419,527,3,2,8,Ex,184100
Sawyer,VinylSd,1967,57.0,894,450,3,1,5,Ex,130000
Sawyer,MetalSd,1958,85.0,1601,300,3,1,5,TA,140000
NAmes,BrkFace,1959,70.0,1040,286,3,1,5,TA,133700
IDOTRR,BrkFace,1920,59.0,1012,308,2,1,6,TA,118400
CollgCr,VinylSd,2005,84.0,1552,782,3,2,7,Ex,212900
Edwards,AsbShng,1956,,960,288,3,1,4,Ex,112000
Edwards,VinylSd,1947,50.0,698,0,2,1,5,Ex,118000
Gilbert,HdBoard,1992,,1482,392,3,2,7,Gd,163900
NAmes,Plywood,1955,60.0,1005,672,2,1,4,TA,115000
Blmngtn,VinylSd,2007,53.0,1555,660,2,2,7,Ex,174000
Gilbert,VinylSd,2004,182.0,1530,630,3,2,7,Ex,259000
Gilbert,VinylSd,2004,59.0,1959,434,4,2,7,Ex,215000
OldTown,MetalSd,1980,60.0,936,672,2,1,5,TA,140000
SWISU,WdShing,1928,65.0,1981,576,4,2,4,TA,135000
Mitchel,HdBoard,1991,63.0,974,0,3,1,5,TA,93500
OldTown,Wd Sdng,1880,90.0,2210,205,5,2,6,TA,117500
SawyerW,VinylSd,1995,80.0,2020,466,3,2,8,Ex,239500
Gilbert,VinylSd,1997,57.0,1600,460,3,2,6,Gd,169000
BrkSide,Wd Sdng,1926,60.0,986,180,2,1,6,TA,102000
NAmes,VinylSd,1950,80.0,1252,288,3,1,6,TA,119000
Sawyer,VinylSd,1875,54.0,1020,0,2,1,5,Gd,94000
Mitchel,Plywood,1977,,1567,714,2,2,6,TA,196000
BrkSide,Stucco,1920,98.0,1167,495,3,1,5,TA,144000
NAmes,HdBoard,1951,60.0,952,840,2,1,5,TA,139000
NWAmes,Plywood,1976,,1868,484,4,2,5,Ex,197500
CollgCr,VinylSd,2006,77.0,2828,1052,4,3,8,Ex,424870
Sawyer,Wd Sdng,1959,,1006,0,3,1,5,TA,80000
Edwards,MetalSd,1941,60.0,924,280,2,1,4,Fa,80000
BrkSide,MetalSd,1928,52.0,1576,225,3,1,5,Ex,149000
SawyerW,Wd Sdng,1985,,1298,403,3,2,6,TA,180000
Crawfor,MetalSd,1941,75.0,1564,234,3,1,7,Ex,174500
OldTown,Wd Sdng,1926,,1111,288,2,1,7,TA,116900
OldTown,VinylSd,1920,50.0,1482,324,3,1,7,Ex,143000
NAmes,BrkFace,1950,57.0,932,306,2,1,6,Ex,124000
Edwards,HdBoard,1959,134.0,1466,528,3,1,5,TA,149900
Crawfor,Stone,1956,90.0,1811,470,2,1,6,Ex,230000
IDOTRR,Wd Sdng,1930,,816,432,2,1,6,Ex,120500
NAmes,VinylSd,1965,,1820,492,4,1,7,TA,201800
Veenker,Plywood,1976,90.0,1437,528,3,2,5,TA,218000
NAmes,BrkFace,1965,85.0,1265,502,3,2,5,Gd,179900
NridgHt,VinylSd,2007,34.0,1314,626,2,2,7,Ex,230000
Somerst,VinylSd,2007,92.0,1580,830,3,2,8,Ex,235128
NWAmes,HdBoard,1974,76.0,1876,540,4,2,6,TA,185000
NPkVill,Plywood,1978,24.0,1456,440,3,2,6,Fa,146000
Crawfor,HdBoard,1954,,1640,924,3,1,6,Ex,224000
Sawyer,VinylSd,1968,109.0,894,450,3,1,5,Gd,129000
Sawyer,Plywood,1969,60.0,1258,400,0,0,4,TA,108959
